"","rank","discipline","yrs.since.phd","yrs.service","sex","salary"
"1","Prof","B",19,18,"Male",139750
"2","Prof","B",20,16,"Male",173200
"3","AsstProf","B",4,3,"Male",79750
"4","Prof","B",45,39,"Male",115000
"5","Prof","B",40,41,"Male",141500
"6","AssocProf","B",6,6,"Male",97000
"7","Prof","B",30,23,"Male",175000
"8","Prof","B",45,45,"Male",147765
"9","Prof","B",21,20,"Male",119250
"10","Prof","B",18,18,"Female",129000
"11","AssocProf","B",12,8,"Male",119800
"12","AsstProf","B",7,2,"Male",79800
"13","AsstProf","B",1,1,"Male",77700
"14","AsstProf","B",2,0,"Male",78000
"15","Prof","B",20,18,"Male",104800
"16","Prof","B",12,3,"Male",117150
"17","Prof","B",19,20,"Male",101000
"18","Prof","A",38,34,"Male",103450
"19","Prof","A",37,23,"Male",124750
"20","Prof","A",39,36,"Female",137000
"21","Prof","A",31,26,"Male",89565
"22","Prof","A",36,31,"Male",102580
"23","Prof","A",34,30,"Male",93904
"24","Prof","A",24,19,"Male",113068
"25","AssocProf","A",13,8,"Female",74830
"26","Prof","A",21,8,"Male",106294
"27","Prof","A",35,23,"Male",134885
"28","AsstProf","B",5,3,"Male",82379
"29","AsstProf","B",11,0,"Male",77000
"30","Prof","B",12,8,"Male",118223
"31","Prof","B",20,4,"Male",132261
"32","AsstProf","B",7,2,"Male",79916
"33","Prof","B",13,9,"Male",117256
"34","AsstProf","B",4,2,"Male",80225
"35","AsstProf","B",4,2,"Female",80225
"36","AsstProf","B",5,0,"Female",77000
"37","Prof","B",22,21,"Male",155750
"38","AsstProf","B",7,4,"Male",86373
"39","Prof","B",41,31,"Male",125196
"40","AssocProf","B",9,9,"Male",100938
"41","Prof","B",23,2,"Male",146500
"42","AssocProf","B",23,23,"Male",93418
"43","Prof","B",40,27,"Male",101299
"44","Prof","B",38,38,"Male",231545
"45","Prof","B",19,19,"Male",94384
"46","Prof","B",25,15,"Male",114778
"47","Prof","B",40,28,"Male",98193
"48","Prof","B",23,19,"Female",151768
"49","Prof","B",25,25,"Female",140096
"50","AsstProf","B",1,1,"Male",70768
"51","Prof","B",28,28,"Male",126621
"52","Prof","B",12,11,"Male",108875
"53","AsstProf","B",11,3,"Female",74692
"54","Prof","B",16,9,"Male",106639
"55","AssocProf","B",12,11,"Male",103760
"56","AssocProf","B",14,5,"Male",83900
"57","Prof","B",23,21,"Male",117704
"58","AssocProf","B",9,8,"Male",90215
"59","AssocProf","B",10,9,"Male",100135
"60","AsstProf","B",8,3,"Male",75044
"61","AssocProf","B",9,8,"Male",90304
"62","AsstProf","B",3,2,"Male",75243
"63","Prof","B",33,31,"Male",109785
"64","AssocProf","B",11,11,"Female",103613
"65","AsstProf","B",4,3,"Male",68404
"66","AssocProf","B",9,8,"Male",100522
"67","Prof","B",22,12,"Male",101000
"68","Prof","B",35,31,"Male",99418
"69","Prof","B",17,17,"Female",111512
"70","Prof","B",28,36,"Male",91412
"71","Prof","B",17,2,"Male",126320
"72","Prof","B",45,45,"Male",146856
"73","Prof","B",29,19,"Male",100131
"74","Prof","B",35,34,"Male",92391
"75","Prof","B",28,23,"Male",113398
"76","AsstProf","B",8,3,"Male",73266
"77","Prof","B",17,3,"Male",150480
"78","Prof","B",26,19,"Male",193000
"79","AsstProf","B",3,1,"Male",86100
"80","AsstProf","B",6,2,"Male",84240
"81","Prof","B",43,28,"Male",150743
"82","Prof","B",17,16,"Male",135585
"83","Prof","B",22,20,"Male",144640
"84","AsstProf","B",6,2,"Male",88825
"85","Prof","B",17,18,"Female",122960
"86","Prof","B",15,14,"Male",132825
"87","Prof","B",37,37,"Male",152708
"88","AsstProf","B",2,2,"Male",88400
"89","Prof","B",25,25,"Male",172272
"90","AssocProf","B",9,7,"Male",107008
"91","AsstProf","B",10,5,"Female",97032
"92","AssocProf","B",10,7,"Male",105128
"93","AssocProf","B",10,7,"Male",105631
"94","Prof","B",38,38,"Male",166024
"95","Prof","B",21,20,"Male",123683
"96","AsstProf","B",4,0,"Male",84000
"97","AssocProf","B",17,12,"Male",95611
"98","Prof","B",13,7,"Male",129676
"99","Prof","B",30,14,"Male",102235
"100","Prof","B",41,26,"Male",106689
"101","Prof","B",42,25,"Male",133217
"102","Prof","B",28,23,"Male",126933
"103","Prof","B",16,5,"Male",153303
"104","Prof","B",20,14,"Female",127512
"105","AssocProf","A",18,10,"Male",83850
"106","Prof","A",31,28,"Male",113543
"107","AssocProf","A",11,8,"Male",82099
"108","AssocProf","A",10,8,"Male",82600
"109","AssocProf","A",15,8,"Male",81500
"110","Prof","A",40,31,"Male",131205
"111","Prof","A",20,16,"Male",112429
"112","AssocProf","A",19,16,"Male",82100
"113","AsstProf","A",3,1,"Male",72500
"114","Prof","A",37,37,"Male",104279
"115","Prof","A",12,0,"Female",105000
"116","Prof","A",21,9,"Male",120806
"117","Prof","A",30,29,"Male",148500
"118","Prof","A",39,36,"Male",117515
"119","AsstProf","A",4,1,"Male",72500
"120","AsstProf","A",5,3,"Female",73500
"121","Prof","A",14,14,"Male",115313
"122","Prof","A",32,32,"Male",124309
"123","Prof","A",24,22,"Male",97262
"124","AssocProf","A",25,22,"Female",62884
"125","Prof","A",24,22,"Male",96614
"126","Prof","A",54,49,"Male",78162
"127","Prof","A",28,26,"Male",155500
"128","AsstProf","A",2,0,"Female",72500
"129","Prof","A",32,30,"Male",113278
"130","AsstProf","A",4,2,"Male",73000
"131","AssocProf","A",11,9,"Male",83001
"132","Prof","A",56,57,"Male",76840
"133","AssocProf","A",10,8,"Female",77500
"134","AsstProf","A",3,1,"Female",72500
"135","Prof","A",35,25,"Male",168635
"136","Prof","A",20,18,"Male",136000
"137","Prof","A",16,14,"Male",108262
"138","Prof","A",17,14,"Male",105668
"139","AssocProf","A",10,7,"Male",73877
"140","Prof","A",21,18,"Male",152664
"141","AssocProf","A",14,8,"Male",100102
"142","AssocProf","A",15,10,"Male",81500
"143","Prof","A",19,11,"Male",106608
"144","AsstProf","B",3,3,"Male",89942
"145","Prof","B",27,27,"Male",112696
"146","Prof","B",28,28,"Male",119015
"147","AsstProf","B",4,4,"Male",92000
"148","Prof","B",27,27,"Male",156938
"149","Prof","B",36,26,"Female",144651
"150","AsstProf","B",4,3,"Male",95079
"151","Prof","B",14,12,"Male",128148
"152","AsstProf","B",4,4,"Male",92000
"153","Prof","B",21,9,"Male",111168
"154","AssocProf","B",12,10,"Female",103994
"155","AsstProf","B",4,0,"Male",92000
"156","Prof","B",21,21,"Male",118971
"157","AssocProf","B",12,18,"Male",113341
"158","AsstProf","B",1,0,"Male",88000
"159","AssocProf","B",6,6,"Male",95408
"160","Prof","B",15,16,"Male",137167
"161","AsstProf","B",2,2,"Male",89516
"162","Prof","B",26,19,"Male",176500
"163","AssocProf","B",22,7,"Male",98510
"164","AsstProf","B",3,3,"Male",89942
"165","AsstProf","B",1,0,"Male",88795
"166","Prof","B",21,8,"Male",105890
"167","Prof","B",16,16,"Male",167284
"168","Prof","B",18,19,"Male",130664
"169","AssocProf","B",8,6,"Male",101210
"170","Prof","B",25,18,"Male",181257
"171","AsstProf","B",5,5,"Male",91227
"172","Prof","B",19,19,"Male",151575
"173","Prof","B",37,24,"Male",93164
"174","Prof","B",20,20,"Male",134185
"175","AssocProf","B",17,6,"Male",105000
"176","Prof","B",28,25,"Male",111751
"177","AssocProf","B",10,7,"Male",95436
"178","AssocProf","B",13,9,"Male",100944
"179","Prof","B",27,14,"Male",147349
"180","AsstProf","B",3,3,"Female",92000
"181","Prof","B",11,11,"Male",142467
"182","Prof","B",18,5,"Male",141136
"183","AssocProf","B",8,8,"Male",100000
"184","Prof","B",26,22,"Male",150000
"185","Prof","B",23,23,"Male",101000
"186","Prof","B",33,30,"Male",134000
"187","AssocProf","B",13,10,"Female",103750
"188","Prof","B",18,10,"Male",107500
"189","AssocProf","B",28,28,"Male",106300
"190","Prof","B",25,19,"Male",153750
"191","Prof","B",22,9,"Male",180000
"192","Prof","B",43,22,"Male",133700
"193","Prof","B",19,18,"Male",122100
"194","AssocProf","B",19,19,"Male",86250
"195","AssocProf","B",48,53,"Male",90000
"196","AssocProf","B",9,7,"Male",113600
"197","AsstProf","B",4,4,"Male",92700
"198","AsstProf","B",4,4,"Male",92000